Compound	1_1_fame.xlsx	1_2_fame.xlsx	1_fame.xlsx	23_1_fame.xlsx	35_1_fame.xlsx	35_2_fame.xlsx	35_3_fame.xlsx	37_supelco_fame.xlsx	C15_0me_fame.xlsx	C18_0me_fame.xlsx
.gamma.-Linolenic acid, methyl ester					51004355		82139891	213624147		
(Z)-Methyl hexadec-11-enoate					25052275					
1-Hexanamine, 2-ethyl-										3567522
1-Methyl-10,18-bisnorabieta-8,11,13-triene		21177191	16941351							
1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1-methyl-, [1S-(1.alpha.,4a.alpha.,10a.beta.)]-		26158941	23577302							
1-Phenethylamino-3-(1,2,3,4-tetrahydro-carbazol-9-yl)-propan-2-ol		12741652								
1,2-Dodecanediol										19292139
13-Docosenoic acid, methyl ester, (Z)-								265922127		
1H-inden-1-one, 2-[[4-(dimethylamino)phenyl]methyl]-2,3-dihydro-		31825161								
1H-Indene, 1-hexadecyl-2,3-dihydro-					25344092					
1H-Tetrazole-1,5-diamine										316364171
2-(2',4',4',6',6',8',8'-Heptamethyltetrasiloxan-2'-yloxy)-2,4,4,6,6,8,8,10,10-nonamethylcyclopentasiloxane									3307775	
2-(3-Hydroxy-2-nitro-1-phenylbutyl)cyclohexanone			28931053							
2-Methyltetracosane					11208275					
2-Piperazinone			538169084							
2-Piperazinone - RT:2.9039999999999999			424460254							
2,3-Pentanedione								773949786		
2,3-Pentanedione - RT:2.9180000000000001								496830109		
2,3-Pentanedione - RT:2.9390000000000001								612254687		
2,4-Di-tert-butylphenol										5591416
2H-Pyran, tetrahydro-2-(12-pentadecynyloxy)-				13421390						
3-Furancarboxylic acid, 4-(2,3-dihydro-1-oxo-1H-inden-2-yl)tetrahydro-5,5-dimethyl-2-oxo-, ethyl ester		160787598			87005510					
3-Hexanone	402611790	427233592	451567938	407517401	413448996	465104242	434481772	431577472	422990904	425579446
3-Hexanone - RT:2.7959999999999998								309256092		
3-Hexanone - RT:2.7989999999999999		295117115								
3-Hexanone - RT:2.8079999999999998			281587760							
3-Hexanone - RT:2.8119999999999998									271724629	
3-Hexanone - RT:2.819						283959206				
3-Hexanone - RT:2.8220000000000001					268088213		271249415			
3-Hexanone - RT:2.8239999999999998	272228570									
3-Hexanone - RT:2.8250000000000002				266405517						
3-Hexanone - RT:2.8260000000000001										266305353
3-Hexanone - RT:2.8370000000000002								446441608		
3-Hexanone - RT:2.84			426222818							
3-Hexanone - RT:2.8460000000000001		592343299								
3-Hexanone - RT:2.8540000000000001									598452641	
3-Hexanone - RT:2.883					869846897					
3-Hexanone - RT:2.8919999999999999						1451762058				
3-Hexanone - RT:2.899							1025199985			
3-Hexanone - RT:2.9129999999999998				1234850637						
3-Hexanone - RT:2.923	1268485088									
3-Hexanone - RT:2.9550000000000001				685944216						
3-Hexanone - RT:2.9609999999999999			1118935483							
3-Hexanone - RT:2.9689999999999999									619846961	
3-n-Propyl-5-methylhexan-2-one		367714668								
3-n-Propyl-5-methylhexan-2-one - RT:2.9670000000000001		690074418								
4,7,10,13,16,19-Docosahexaenoic acid, methyl ester, (all-Z)-								156323315		
4H-Chromene, 4a,5,6,7,8,8a-hexahydro-2,3,5,5,8a-pentamethyl		59361079								
5-Methyl-4-octanone		702860639								
5,2,1,6,3,4-[2,3]Butanediyl[1,4]diylidenedipentaleno[2,1,6-cde:2',1',6'-gha]pentalene, hexadecahydro-		106266960	105147961							
5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-					15137584			203836891		
5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-	31699223	27360807		33378684	78680914	192449908	27434437	224219626		
5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)- - RT:29.276							524765730			
5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)- - RT:29.277000000000001				373305735						
5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)- - RT:29.280999999999999					788538191					
6-Octadecenoic acid, methyl ester, (Z)-								231006249		
6-Octadecenoic acid, methyl ester, (Z)- - RT:25.295999999999999								958185831		
8-(2,6-Dimethyl-hepta-1,5-dienyl)-3,7,7-trimethyl-bicyclo[4.2.0]oct-2-ene			16825698		29140640					
9-Hexadecenoic acid, methyl ester, (Z)-						59068290				
9-Methyl-10-(tetrahydropyran-2-yloxymethyl)tricyclo[4.2.1.1(2,5)]deca-3,7-dien-9-ol					54830406					
9-Octadecenoic acid, methyl ester, (E)-	29959437	544171778	431587115		237733795			271954479		28205040264
9-Octadecenoic acid, methyl ester, (E)- - RT:25.405999999999999					170972040					
9-Octadecenoic acid, methyl ester, (E)- - RT:25.437999999999999			332431553							
9-Octadecenoic acid, methyl ester, (E)- - RT:25.452999999999999		367312275								
9,12-Octadecadien-1-ol, (Z,Z)-								196996555		
9,12-Octadecadienoic acid (Z,Z)-, methyl ester		20157089						226995756		
Androst-11-en-17-one, 3-(formyloxy)-, (3.alpha.,5.beta.)-		41592484								
Androsta-1,4,6-triene-3,17-dione			29916307							
Bicyclo[2.2.2]octane, 1-bromo-4-phenyl-			18062191							
Bicyclo[2.2.2]octane, 1-bromo-4-phenyl- - RT:24.974			165459581							
Bicyclo[2.2.2]octane, 1-bromo-4-phenyl- - RT:25.117000000000001			43005881							
Bicyclo[3.2.1]oct-2-ene, 2-phenyl-		54611061								
Bicyclo[4.1.0]heptane, 7-(phenylmethylene)-		138634935	122060914		68392510					
Bicyclo[4.4.0]dec-5-ene, 1,5-dimethyl-3-hydroxy-8-(1-methylene-2-hydroxyethyl-1)-					44650562					
Butane, 1-iodo-					17400645					
cis-10-Heptadecenoic acid, methyl ester								241070255		
cis-11-Eicosenoic acid, methyl ester								499761228		
