Compound	1_1_fame.xlsx	1_2_fame.xlsx	1_fame.xlsx	23_1_fame.xlsx	35_1_fame.xlsx	35_2_fame.xlsx	35_3_fame.xlsx	37_supelco_fame.xlsx	C15_0me_fame.xlsx	C18_0me_fame.xlsx	Mean	SD
.gamma.-Linolenic acid, methyl ester					20.057		24.678	24.721			23.152	2.18856589269473
(Z)-Methyl hexadec-11-enoate					20.536						20.536	0
1-Hexanamine, 2-ethyl-										3.107	3.107	0
1-Methyl-10,18-bisnorabieta-8,11,13-triene		26.905	26.895								26.9	0.00500000000000078
1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1-methyl-, [1S-(1.alpha.,4a.alpha.,10a.beta.)]-		27.248	27.238								27.243	0.00500000000000078
1-Phenethylamino-3-(1,2,3,4-tetrahydro-carbazol-9-yl)-propan-2-ol		25.811									25.811	0
1,2-Dodecanediol										29.228	29.228	0
13-Docosenoic acid, methyl ester, (Z)-								34.839			34.839	0
1H-inden-1-one, 2-[[4-(dimethylamino)phenyl]methyl]-2,3-dihydro-		24.923									24.923	0
1H-Indene, 1-hexadecyl-2,3-dihydro-					27.224						27.224	0
1H-Tetrazole-1,5-diamine										2.936	2.936	0
2-(2',4',4',6',6',8',8'-Heptamethyltetrasiloxan-2'-yloxy)-2,4,4,6,6,8,8,10,10-nonamethylcyclopentasiloxane									2.623		2.623	0
2-(3-Hydroxy-2-nitro-1-phenylbutyl)cyclohexanone			25.686								25.686	0
2-Methyltetracosane					20.231						20.231	0
2-Piperazinone			2.88								2.88	0
2-Piperazinone - RT:2.9039999999999999			2.904								2.904	0
2,3-Pentanedione								2.886			2.886	0
2,3-Pentanedione - RT:2.9180000000000001								2.918			2.918	0
2,3-Pentanedione - RT:2.9390000000000001								2.939			2.939	0
2,4-Di-tert-butylphenol										11.866	11.866	0
2H-Pyran, tetrahydro-2-(12-pentadecynyloxy)-				24.414							24.414	0
3-Furancarboxylic acid, 4-(2,3-dihydro-1-oxo-1H-inden-2-yl)tetrahydro-5,5-dimethyl-2-oxo-, ethyl ester		24.992			24.944						24.968	0.0240000000000009
3-Hexanone	2.781	2.763	2.775	2.792	2.787	2.786	2.785	2.761	2.781	2.788	2.7799	0.00997446740432788
3-Hexanone - RT:2.7959999999999998								2.796			2.796	0
3-Hexanone - RT:2.7989999999999999		2.799									2.799	0
3-Hexanone - RT:2.8079999999999998			2.808								2.808	0
3-Hexanone - RT:2.8119999999999998									2.812		2.812	0
3-Hexanone - RT:2.819						2.819					2.819	0
3-Hexanone - RT:2.8220000000000001					2.822		2.822				2.822	5.43895982204207e-16
3-Hexanone - RT:2.8239999999999998	2.824										2.824	0
3-Hexanone - RT:2.8250000000000002				2.825							2.825	0
3-Hexanone - RT:2.8260000000000001										2.826	2.826	0
3-Hexanone - RT:2.8370000000000002								2.837			2.837	0
3-Hexanone - RT:2.84			2.84								2.84	0
3-Hexanone - RT:2.8460000000000001		2.846									2.846	0
3-Hexanone - RT:2.8540000000000001									2.854		2.854	0
3-Hexanone - RT:2.883					2.883						2.883	0
3-Hexanone - RT:2.8919999999999999						2.892					2.892	0
3-Hexanone - RT:2.899							2.899				2.899	0
3-Hexanone - RT:2.9129999999999998				2.913							2.913	0
3-Hexanone - RT:2.923	2.923										2.923	0
