Compound	RT	Response
Tris(trimethylsilyl)borate	4.33	23543365316
"Pyridine, 3-trimethylsiloxy-"	4.89	2365802883
"Acetamide, 2,2,2-trifluoro-N-methyl-N-(trimethylsilyl)-"	5.16	2928609020
"L-Valine, trimethylsilyl ester"	5.49	1305063016
EIQTMS_N12C_LJALD_1099.5_2236BG34_L-Alanine (2TMS)	5.69	3969460041
Tris(trimethylsilyl)hydroxylamine	5.83	10022435604
EIQTMS_N12C_NID1_1139.3_1267BK12_[NA]	6.15	9216572959
"l-Leucine, trimethylsilyl ester"	6.31	800038031
EITTMS_N12C_ATHR_1234.3_1135EC44_	6.58	3508524016
EITTMS_N12C_ATHR_1436.4_1135EC44_	7.08	3776168351
"Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-"	7.43	867735552
"3,6,9-Trioxa-2,10-disilaundecane, 2,2,10,10-tetramethyl-"	7.56	3414899912
EITTMS_N12C_SD1_1280.9_1164EK04_L-Serine (2TMS)	7.79	2457186384
EIQTMS_N12C_LJARL_1284.6_2236BN14_Glycerol (3TMS)	8.09	33528937998
"l-Threonine, O-(trimethylsilyl)-, trimethylsilyl ester"	8.4	6221411601
EIQTMS_N12C_LJALM_1326.3_2236BN40_Succinic acid (2TMS)	8.65	2712019798
EITTMS_N12C_ATHR_1358.9_1135EC06_	9.11	925034586
"5-Keto-2,2-dimethylheptanoic acid, ethyl(ester)"	9.42	7986951742
EIQTMS_N12C_LJAF_1370.6_2236BN50_L-Serine (3TMS)	9.59	1433886423
EIQTMS_N12C_ATHL_1392.0_3161BN20_L-Threonine (3TMS)	10.11	2566791793
"l-Methionine, trimethylsilyl ester"	10.39	818092796
"Tris(hydroxymethyl)aminomethane, O,O',O''-tris(trimethylsilyl) ether"	10.54	223278089
"l-Aspartic acid, bis(trimethylsilyl) ester"	10.67	1382763227
"_-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester"	10.79	1224012384
"L-(+)-Threose, tris(trimethylsilyl) ether, methyloxime (syn)"	11.46	512980484
EITTMS_N12C_ATHR_1479.3_1135EC44_	11.78	1242064243
EIQTMS_N12C_ATHL_1491.4_3161BN27_Malic acid (3TMS)	12.07	4991681985
"3,6,9,12-Tetraoxa-2,13-disilatetradecane, 2,2,13,13-tetramethyl-"	12.25	355009436
(Trimethylsilyl)methyl octanoate	12.39	5120915890
EIQTMS_N12C_NID1_1538.9_1267BK12_[596; N-Acetylglutamic acid (2TMS)]	12.79	18913082684
"Propanoic acid, 2-methyl-2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester"	13.55	866501604
EIQTMS_N12C_SD1_1567.6_3196BU28_Threonic acid (4TMS)	13.71	6645405938
EITTMS_N12C_ATHR_1594.9_1135EC44_[661; Proline (2TMS)]	13.88	218165933
EIQTMS_N12C_ATHL_1630.5_3161BN27_L-Glutamic acid (3TMS)	14.74	9497296532
"Dodecanoic acid, trimethylsilyl ester"	15.15	649446071
"Silane, (1,2,4,5-cyclohexanetetrayltetraoxy)tetrakis[trimethyl-"	15.55	322515151
EITTMS_N12C_SD2_1681.5_1179EK03_L-Asparagine (3TMS)	15.8	297756860
EITTMS_N12C_STUL_1681.2_1135EC28_Ribose methoxyamine (4TMS)	16.25	852496846
