[Header]
Data File Name	C:\GCMSsolution\Data\Project1\240220\240220\1.cdf
Output Date	4/9/2020
Output Time	12:42:57 PM

[MC Peak Table]
# of Peaks	36
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	2.775	2.709	2.791	TIC	451567938	194264627	2.32	6.18	   	3-Hexanone	
2	2.808	2.791	2.820	TIC	281587760	203887735	1.38	3.85	 V 	3-Hexanone	
3	2.840	2.820	2.854	TIC	426222818	225596635	1.89	5.83	 V 	3-Hexanone	
4	2.880	2.854	2.892	TIC	538169084	242861733	2.22	7.36	 V 	2-Piperazinone	
5	2.904	2.892	2.921	TIC	424460254	244506681	1.74	5.81	 V 	2-Piperazinone	
6	2.961	2.921	3.011	TIC	1118935483	258397777	4.33	15.31	 V 	3-Hexanone	
7	3.024	3.014	3.049	TIC	28454547	35718257	0.80	0.39	   	Heptane, 4,4-dimethyl-	
8	3.116	3.098	3.139	TIC	5295262	6911530	0.77	0.07	   	Silane, methyldiethoxymethoxy-	
9	3.257	3.226	3.307	TIC	457881203	347517337	1.32	6.27	   	Heptane, 4,4-dimethyl-	
10	3.436	3.403	3.458	TIC	11769892	8941940	1.32	0.16	   	Cyclotrisiloxane, hexamethyl-	
11	4.378	4.354	4.406	TIC	39528466	35230160	1.12	0.54	   	Nonane	
12	16.070	16.015	16.116	TIC	44333323	14187229	3.12	0.61	   	Tridecanoic acid, 12-methyl-, methyl ester	
13	18.442	18.358	18.535	TIC	768416988	233718845	3.29	10.51	   	Pentadecanoic acid, methyl ester	
14	20.374	20.330	20.434	TIC	29308541	9163223	3.20	0.40	   	Methyl hexadec-9-enoate	
15	20.912	20.823	20.991	TIC	581349974	175784976	3.31	7.96	   	Hexadecanoic acid, methyl ester	
16	23.409	23.372	23.476	TIC	24601292	8134360	3.02	0.34	   	Hexadecanoic acid, 15-methyl-, methyl ester	
17	24.486	24.451	24.535	TIC	18062191	7213570	2.50	0.25	   	Bicyclo[2.2.2]octane, 1-bromo-4-phenyl-	
18	24.974	24.851	25.051	TIC	165459581	34326624	4.82	2.26	   	Bicyclo[2.2.2]octane, 1-bromo-4-phenyl-	
19	25.117	25.051	25.190	TIC	43005881	10189258	4.22	0.59	 V 	Bicyclo[2.2.2]octane, 1-bromo-4-phenyl-	
20	25.273	25.190	25.373	TIC	431587115	98841510	4.37	5.91	 V 	9-Octadecenoic acid, methyl ester, (E)-	
21	25.438	25.373	25.625	TIC	332431553	56378168	5.90	4.55	 V 	9-Octadecenoic acid, methyl ester, (E)-	
22	25.686	25.625	25.756	TIC	28931053	5360062	5.40	0.40	 V 	2-(3-Hydroxy-2-nitro-1-phenylbutyl)cyclohexanone	
23	25.817	25.756	25.860	TIC	17349466	4823649	3.60	0.24	 V 	Cyclohexanone, 6-furfurylidene-2,3-dimethyl-2-phenyl-	
24	25.937	25.860	26.060	TIC	577605308	157716711	3.66	7.90	   	Methyl stearate	
25	26.769	26.634	26.843	TIC	122060914	24260898	5.03	1.67	   	Bicyclo[4.1.0]heptane, 7-(phenylmethylene)-	
26	26.895	26.843	26.974	TIC	16941351	3988009	4.25	0.23	 V 	1-Methyl-10,18-bisnorabieta-8,11,13-triene	
27	27.238	27.174	27.357	TIC	23577302	5341350	4.41	0.32	   	1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1-methyl-, [1S-(1.alpha.,4a.alpha.,10a.beta.)]-	
28	27.713	27.652	27.809	TIC	24636520	6630991	3.72	0.34	   	Eicosane	
29	29.735	29.653	29.862	TIC	29916307	5432561	5.51	0.41	   	Androsta-1,4,6-triene-3,17-dione	
30	30.130	30.071	30.280	TIC	34585359	6359578	5.44	0.47	   	Heneicosane	
31	30.437	30.349	30.523	TIC	16825698	4115138	4.09	0.23	   	8-(2,6-Dimethyl-hepta-1,5-dienyl)-3,7,7-trimethyl-bicyclo[4.2.0]oct-2-ene	
32	31.098	31.045	31.185	TIC	18966092	4943554	3.84	0.26	   	Methyl dehydroabietate	
33	31.582	31.454	31.680	TIC	105147961	17742357	5.93	1.44	   	5,2,1,6,3,4-[2,3]Butanediyl[1,4]diylidenedipentaleno[2,1,6-cde:2',1',6'-gha]pentalene, hexadecahydro-	
34	31.917	31.854	32.002	TIC	17228255	4429137	3.89	0.24	   	Octa-2,4,6-triene, 2,7-diphenyl-	
35	32.456	32.376	32.550	TIC	31889606	6941864	4.59	0.44	   	Eicosane	
36	34.732	34.664	34.838	TIC	19805619	5134900	3.86	0.27	   	Hexatriacontane	

