[Header]
Data File Name	C:\GCMSsolution\Data\Project1\240220\240220\FAME_40-60.cdf
Output Date	4/9/2020
Output Time	2:55:28 PM

[MC Peak Table]
# of Peaks	41
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	2.692	2.675	2.715	TIC	16327658	8053918	2.03	0.12	   		
2	2.761	2.715	2.776	TIC	431577472	192810053	2.24	3.17	 V 	3-Hexanone	
3	2.796	2.776	2.808	TIC	309256092	199473276	1.55	2.27	 V 	3-Hexanone	
4	2.837	2.808	2.843	TIC	446441608	236809586	1.89	3.27	 V 	3-Hexanone	
5	2.886	2.843	2.895	TIC	773949786	257939491	3.00	5.68	 V 	2,3-Pentanedione	
6	2.918	2.895	2.927	TIC	496830109	264646081	1.88	3.64	 V 	2,3-Pentanedione	
7	2.939	2.927	2.965	TIC	612254687	272586661	2.25	4.49	 V 	2,3-Pentanedione	
8	2.971	2.965	3.040	TIC	672272611	278095004	2.42	4.93	 V 	Heptane	
9	3.251	3.223	3.272	TIC	378284226	316345914	1.20	2.77	   	Hexane, 2,3,3-trimethyl-	
10	4.379	4.351	4.415	TIC	27650377	25360843	1.09	0.20	   	Nonane	
11	4.661	4.629	4.707	TIC	191998861	153006608	1.25	1.41	   	Hexanoic acid, methyl ester	
12	4.739	4.707	4.754	TIC	5663324	2587684	2.19	0.04	 V 	Oxygen	
13	7.013	6.972	7.059	TIC	254149541	214559885	1.18	1.86	   	Octanoic acid, methyl ester	
14	9.155	9.121	9.205	TIC	333462759	228355387	1.46	2.45	   	Decanoic acid, methyl ester	
15	10.458	10.418	10.507	TIC	190190163	103740896	1.83	1.39	   	Undecanoic acid, methyl ester	
16	12.048	11.989	12.114	TIC	387090567	183758864	2.11	2.84	   	Dodecanoic acid, methyl ester	
17	13.935	13.871	13.999	TIC	206720221	82480875	2.51	1.52	   	Tridecanoic acid, methyl ester	
18	15.825	15.765	15.899	TIC	221692033	83622402	2.65	1.63	   	Methyl myristoleate	
19	16.095	16.026	16.171	TIC	427903745	152849178	2.80	3.14	   	Tridecanoic acid, 12-methyl-, methyl ester	
20	18.162	18.100	18.227	TIC	231006249	76723980	3.01	1.69	   	6-Octadecenoic acid, methyl ester, (Z)-	
21	18.450	18.381	18.532	TIC	236985741	74306290	3.19	1.74	   	Pentadecanoic acid, methyl ester	
22	20.396	20.321	20.469	TIC	242059689	75226339	3.22	1.78	   	Methyl hexadec-9-enoate	
23	20.932	20.846	21.008	TIC	700442004	209652014	3.34	5.14	   	Hexadecanoic acid, methyl ester	
24	22.901	22.827	22.977	TIC	241070255	72874627	3.31	1.77	   	cis-10-Heptadecenoic acid, methyl ester	
25	23.432	23.357	23.526	TIC	246362492	72820507	3.38	1.81	   	Heptadecanoic acid, methyl ester	
26	24.721	24.645	24.807	TIC	213624147	63342198	3.37	1.57	   	.gamma.-Linolenic acid, methyl ester	
27	25.126	25.057	25.205	TIC	226995756	67131634	3.38	1.66	   	9,12-Octadecadienoic acid (Z,Z)-, methyl ester	
28	25.296	25.205	25.405	TIC	958185831	201942627	4.74	7.03	 V 	6-Octadecenoic acid, methyl ester, (Z)-	
29	25.455	25.405	25.605	TIC	271954479	76909230	3.54	1.99	 V 	9-Octadecenoic acid, methyl ester, (E)-	
30	25.947	25.848	26.092	TIC	495880598	132239682	3.75	3.64	   	Methyl stearate	
31	29.148	29.067	29.233	TIC	203836891	53309946	3.82	1.50	   	5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-	
32	29.307	29.233	29.450	TIC	224219626	56241159	3.99	1.64	 V 	5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-	
33	29.590	29.450	29.755	TIC	227507336	57902634	3.93	1.67	 V 	Methyl 10,13,16-docosatrienoate	
34	30.057	29.972	30.120	TIC	227041710	59826283	3.80	1.67	   	cis-11,14-Eicosadienoic acid, methyl ester	
35	30.204	30.120	30.364	TIC	499761228	90574395	5.52	3.67	 V 	cis-11-Eicosenoic acid, methyl ester	
36	30.827	30.712	31.008	TIC	499070547	124720440	4.00	3.66	   	Methyl 18-methylnonadecanoate	
37	33.155	33.061	33.322	TIC	225863130	55643687	4.06	1.66	   	Heneicosanoic acid, methyl ester	
38	33.663	33.565	33.809	TIC	156323315	38441405	4.07	1.15	   	4,7,10,13,16,19-Docosahexaenoic acid, methyl ester, (all-Z)-	
39	34.743	34.635	34.792	TIC	196996555	49937682	3.94	1.44	   	9,12-Octadecadien-1-ol, (Z,Z)-	
40	34.839	34.792	35.062	TIC	265922127	60468781	4.40	1.95	 V 	13-Docosenoic acid, methyl ester, (Z)-	
41	35.430	35.314	35.671	TIC	459004302	106107085	4.33	3.37	   	Docosanoic acid, methyl ester	

