[Header]
Data File Name	C:\GCMSsolution\Data\Project1\240220\240220\c-18.cdf
Output Date	4/9/2020
Output Time	2:54:14 PM

[MC Peak Table]
# of Peaks	16
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	2.788	2.735	2.808	TIC	425579446	188164864	2.26	1.35	   	3-Hexanone	
2	2.826	2.808	2.837	TIC	266305353	192783300	1.38	0.84	 V 	3-Hexanone	
3	2.860	2.837	2.878	TIC	477709580	211315788	2.26	1.52	 V 	Pyrrolidine, 1-nitroso-	
4	2.883	2.878	2.898	TIC	267224538	217726760	1.23	0.85	 V 	Furazandiamine	
5	2.904	2.898	2.927	TIC	390184036	225783811	1.73	1.24	 V 	Furazandiamine	
6	2.936	2.927	2.950	TIC	316364171	229356078	1.38	1.00	 V 	1H-Tetrazole-1,5-diamine	
7	2.959	2.950	2.970	TIC	280659204	232632504	1.21	0.89	 V 	Hexane, 3-methyl-	
8	2.978	2.970	3.025	TIC	383903143	241824889	1.59	1.22	 V 	Hexane, 3-methyl-	
9	3.036	3.025	3.057	TIC	25609328	31810372	0.81	0.08	   	Heptane, 3-methyl-	
10	3.107	3.092	3.130	TIC	3567522	3586076	0.99	0.01	   	1-Hexanamine, 2-ethyl-	
11	3.268	3.240	3.292	TIC	402468752	327380828	1.23	1.28	   	Hexane, 2,3,3-trimethyl-	
12	4.384	4.357	4.412	TIC	31623921	27643056	1.14	0.10	   	Nonane	
13	11.866	11.839	11.885	TIC	5591416	4099207	1.36	0.02	   	2,4-Di-tert-butylphenol	
14	20.904	20.858	20.947	TIC	16519815	6097452	2.71	0.05	   	Hexadecanoic acid, methyl ester	
15	25.653	25.344	26.379	TIC	28205040264	861935970	32.72	89.49	   	9-Octadecenoic acid, methyl ester, (E)-	
16	29.228	29.137	29.311	TIC	19292139	4684919	4.12	0.06	   	1,2-Dodecanediol	

