Compound	RT	Response
Tris(trimethylsilyl)borate	4.28	16634470402
"Pyridine, 3-trimethylsiloxy-"	4.86	1472101712
"Acetamide, 2,2,2-trifluoro-N-methyl-N-(trimethylsilyl)-"	5.12	2101647705
"Hexanoic acid, trimethylsilyl ester"	5.23	694239199
"L-Valine, trimethylsilyl ester"	5.45	385481553
EIQTMS_N12C_ATHL_1091.7_3161BN26_L-Alanine (2TMS)	5.63	7115098446
"2,2,5,5-Tetramethyl-4-ethyl-3-imidazoline-1-oxyl"	5.83	5631947323
EIQTMS_N12C_NID1_1139.3_1267BK12_[NA]	6.12	10777280847
"Pentasiloxane, dodecamethyl-"	6.56	2062304181
EIQTMS_N12C_LJAF_1222.5_2236BN50_L-Valine (2TMS)	7.16	3676156991
EITTMS_N12C_ATHR_1269.8_1135EC44_Urea (2TMS)	7.41	955084230
"3,6,9-Trioxa-2,10-disilaundecane, 2,2,10,10-tetramethyl-"	7.54	2639877944
EITTMS_N12C_SD2_1281.1_1179EK05_L-Serine (2TMS)	7.77	1535393743
EIQTMS_N12C_LJARL_1284.6_2236BN14_Glycerol (3TMS)	8.09	52242826165
EITTMS_N12C_SD2_1312.8_1179EK07_L-Isoleucine (2TMS)	8.39	3908805127
EIQTMS_N12C_LJAF_1327.1_2236BN50_Succinic acid (2TMS)	8.65	5482169716
EITTMS_N12C_ATHR_1358.9_1135EC06_	9.1	1178891686
"5-Keto-2,2-dimethylheptanoic acid, ethyl(ester)"	9.41	5348365705
EIQTMS_N12C_ATHL_1367.4_3161BN33_L-Serine (3TMS)	9.59	2149533381
EIQTMS_N12C_LJALD_1394.0_2236BN30_L-Threonine (3TMS)	10.1	2108277417
"l-Aspartic acid, bis(trimethylsilyl) ester"	10.66	386149982
"_-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester"	10.79	1248459652
"1H-Indole-2,3-dione, 6-ethoxy-1-(trimethylsilyl)-, 3-[O-(trimethylsilyl)oxime]"	11.46	483798769
EITTMS_N12C_ATHR_1479.3_1135EC44_	11.78	612978232
EIQTMS_N12C_LJALM_1491.9_2236BN40_Malic acid (3TMS)	12.07	4965940570
"3,6,9,12-Tetraoxa-2,13-disilatetradecane, 2,2,13,13-tetramethyl-"	12.25	239630817
(Trimethylsilyl)methyl octanoate	12.38	3209801979
EIQTMS_N12C_LJARP_1527.6_2236BN20_Pyroglutamic acid (2TMS)	12.66	13313125471
EIQTMS_N12C_SD1_1567.6_3196BU28_Threonic acid (4TMS)	13.71	1705163070
EIQTMS_N12C_ATHL_1630.5_3161BN27_L-Glutamic acid (3TMS)	14.74	11665315134
"Dodecanoic acid, trimethylsilyl ester"	15.14	269922157
EITTMS_N12C_SD2_1681.5_1179EK03_L-Asparagine (3TMS)	15.8	195966102
EITTMS_N12C_STUL_1681.2_1135EC28_Ribose methoxyamine (4TMS)	16.26	1867476688
EITTMS_N12C_NTAL_1700.2_1135EC07_[Pentitol (5TMS)]	16.65	903829732
EITTMS_N12C_SD1_1717.4_1288EC37_Xylitol (5TMS)	16.89	175964643
