Compound	Sample1.tsv	Sample2.tsv	Sample3.tsv	Mean_RT	SD_RT
Tris(trimethylsilyl)borate	4.27	4.28	4.33	4.29333333333333	0.0321455025366433
Pyridine, 3-trimethylsiloxy-	4.85	4.86	4.89	4.86666666666667	0.0208166599946612
Acetamide, 2,2,2-trifluoro-N-methyl-N-(trimethylsilyl)-	5.11	5.12	5.16	5.13	0.0264575131106458
Hexanoic acid, trimethylsilyl ester	5.23	5.23		5.23	0
L-Valine, trimethylsilyl ester		5.45	5.49	5.47	0.0282842712474619
EIQTMS_N12C_ATHL_1091.7_3161BN26_L-Alanine (2TMS)		5.63		5.63	
EIQTMS_N12C_LJALD_1099.5_2236BG34_L-Alanine (2TMS)	5.65		5.69	5.67	0.0282842712474619
Tris(trimethylsilyl)hydroxylamine	5.82		5.83	5.825	0.00707106781186532
2,2,5,5-Tetramethyl-4-ethyl-3-imidazoline-1-oxyl		5.83		5.83	
EIQTMS_N12C_NID1_1139.3_1267BK12_[NA]	6.12	6.12	6.15	6.13	0.0173205080756889
l-Leucine, trimethylsilyl ester			6.31	6.31	
Pentasiloxane, dodecamethyl-	6.56	6.56		6.56	0
EITTMS_N12C_ATHR_1234.3_1135EC44_			6.58	6.58	
EITTMS_N12C_ATHR_1436.4_1135EC44_	7.06		7.08	7.07	0.0141421356237313
EIQTMS_N12C_LJAF_1222.5_2236BN50_L-Valine (2TMS)		7.16		7.16	
EITTMS_N12C_ATHR_1269.8_1135EC44_Urea (2TMS)		7.41		7.41	
EIQTMS_N12C_SD1_1256.5_3035BB03_Urea (2TMS)	7.42			7.42	
Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-			7.43	7.43	
3,6,9-Trioxa-2,10-disilaundecane, 2,2,10,10-tetramethyl-		7.54	7.56	7.55	0.0141421356237306
Carbamic acid,(trimethylsilyl)[(trimethylsilyl)oxy] trimethylsilyl ester	7.57			7.57	
EITTMS_N12C_SD2_1281.1_1179EK05_L-Serine (2TMS)		7.77		7.77	
EITTMS_N12C_SD1_1280.9_1164EK04_L-Serine (2TMS)			7.79	7.79	
Octanoic acid, trimethylsilyl ester	7.79			7.79	
EIQTMS_N12C_LJARL_1284.6_2236BN14_Glycerol (3TMS)	8.08	8.09	8.09	8.08666666666667	0.00577350269189613
EITTMS_N12C_SD2_1312.8_1179EK07_L-Isoleucine (2TMS)		8.39		8.39	
l-Threonine, O-(trimethylsilyl)-, trimethylsilyl ester			8.4	8.4	
EIQTMS_N12C_LJALM_1304.1_2236BN40_L-Proline (2TMS)	8.45			8.45	
EIQTMS_N12C_ATHL_1310.2_3161BN21_Glycine (3TMS)	8.63			8.63	
EIQTMS_N12C_LJAF_1327.1_2236BN50_Succinic acid (2TMS)		8.65		8.65	
EIQTMS_N12C_LJALM_1326.3_2236BN40_Succinic acid (2TMS)			8.65	8.65	
Cyclohexasiloxane, dodecamethyl-	8.75			8.75	
EITTMS_N12C_ATHR_1358.9_1135EC06_	9.1	9.1	9.11	9.10333333333333	0.00577350269189613
5-Keto-2,2-dimethylheptanoic acid, ethyl(ester)	9.42	9.41	9.42	9.41666666666667	0.00577350269189613
EIQTMS_N12C_ATHL_1367.4_3161BN33_L-Serine (3TMS)	9.59	9.59		9.59	0
EIQTMS_N12C_LJAF_1370.6_2236BN50_L-Serine (3TMS)			9.59	9.59	
EIQTMS_N12C_LJAF_1394.7_2236BN50_L-Threonine (3TMS)	10.1			10.1	
EIQTMS_N12C_LJALD_1394.0_2236BN30_L-Threonine (3TMS)		10.1		10.1	
EIQTMS_N12C_ATHL_1392.0_3161BN20_L-Threonine (3TMS)			10.11	10.11	
l-Methionine, trimethylsilyl ester			10.39	10.39	
